school_name,district,tier,contact_role,contact_name,contact_email,contact_whatsapp,T-11_sent_at,T-11_reply,Day3_nudge_sent_at,Day3_reply,Day11_update_sent_at,Day11_reply,Day18_called_at,Day18_reply,Day23_thankyou_sent_at,participated,num_submissions,notes
拔萃男書院,九龍城,T1,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
皇仁書院,灣仔,T1,ICT Teacher,,,,,,,,,,,,,FALSE,0,
香港華仁書院,灣仔,T1,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
英華書院,深水埗,T1,ICT Teacher,,,,,,,,,,,,,FALSE,0,
聖保羅書院,中西區,T1,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
聖士提反書院,南區,T1,ICT Teacher,,,,,,,,,,,,,FALSE,0,
拔萃女書院,九龍城,T1,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
喇沙書院,九龍城,T1,ICT Teacher,,,,,,,,,,,,,FALSE,0,
英華女學校,中西區,T1,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
華仁書院 (九龍),油尖旺,T1,ICT Teacher,,,,,,,,,,,,,FALSE,0,
皇仁舊生會中學,觀塘,T2,ICT Teacher,,,,,,,,,,,,,FALSE,0,
聖保祿學校,灣仔,T2,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
協恩中學,九龍城,T2,ICT Teacher,,,,,,,,,,,,,FALSE,0,
庇理羅士女子中學,東區,T2,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
聖類斯中學,中西區,T2,ICT Teacher,,,,,,,,,,,,,FALSE,0,
順德聯誼總會梁銶琚中學,九龍城,T2,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
觀塘瑪利諾書院,觀塘,T2,ICT Teacher,,,,,,,,,,,,,FALSE,0,
香港浸會大學附屬學校王錦輝中小學,沙田,T2,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
香港中國婦女會中學,東區,T2,ICT Teacher,,,,,,,,,,,,,FALSE,0,
中華基督教會公理高中書院,中西區,T2,STEM Coordinator,,,,,,,,,,,,,FALSE,0,
香港四邑商工總會黃棣珊紀念中學,深水埗,T3,ICT Teacher,,,,,,,,,,,,,FALSE,0,
獅子會中學,沙田,T3,ICT Teacher,,,,,,,,,,,,,FALSE,0,
仁濟醫院董之英紀念中學,沙田,T3,ICT Teacher,,,,,,,,,,,,,FALSE,0,
博愛醫院八十週年鄧英喜中學,元朗,T3,ICT Teacher,,,,,,,,,,,,,FALSE,0,
保良局百周年李兆忠紀念中學,觀塘,T3,ICT Teacher,,,,,,,,,,,,,FALSE,0,
